room,date,price_real
Городоцька 31,2024-09-17,2296.0
Вірменська 13,2024-09-17,1476.0
Франка 28,2024-09-17,1800.0
Франка 28,2024-09-18,1800.0
Наливайка 13,2024-09-18,1800.0
Наливайка 13,2024-09-19,1800.0
Вірменська 13,2024-09-18,1700.0
Підмурна 24,2024-09-18,1500.0
Джерельна 34,2024-09-18,2500.0
Джерельна 34,2024-09-19,2500.0
Сербська 6/1,2024-09-18,902.22
Хмельницького 37,2024-09-18,1200.0
Сербська 6,2024-09-18,1200.0
Куліша 47а,2024-09-18,2600.0
Пекарська 32,2024-09-18,2600.0
Пекарська 32,2024-09-19,2600.0
Ковжуна 2/3,2024-09-18,2000.0
Ковжуна 2/3,2024-09-19,2000.0
ковжуна 2/9,2024-09-18,1350.0
Балабана 23/1,2024-09-18,1600.0
Ковжуна 2/5,2024-09-18,820.02
Газова 10,2024-09-18,1520.0
Городоцька 31,2024-09-18,2624.26
Городоцька 31,2024-09-19,2624.26
Мосяжна 4,2024-09-18,2550.0
Мосяжна 4,2024-09-19,2550.0
Сербська 6,2024-09-19,1683.33
Сербська 6,2024-09-20,1683.33
Сербська 6,2024-09-21,1683.33
Сербська 6,2024-09-22,1600.0
Ковжуна 2/4,2024-09-19,1375.0
Ковжуна 2/4,2024-09-20,1375.0
Куліша 47а,2024-09-19,2600.0
Ковжуна 2/5,2024-09-19,1200.0
Вірменська 13,2024-09-19,1700.0
Балабана 23/1,2024-09-19,1800.0
Шевченка 60,2024-09-19,1600.0
ковжуна 2/8,2024-09-19,1004.5
ковжуна 2/8,2024-09-20,1004.5
Шевченка 19,2024-09-19,1968.02
Шевченка 19,2024-09-20,1968.02
Підмурна 24,2024-09-19,1394.0
Підмурна 24,2024-09-20,1394.0
ковжуна 2/9,2024-09-19,1200.0
Шевченка 38/1,2024-09-19,1599.05
Шевченка 38/1,2024-09-20,1599.05
Сербська 6/1,2024-09-19,902.0
Хмельницького 37,2024-09-19,1900.0
Хмельницького 37,2024-09-20,1900.0
Франка 14,2024-09-20,4000.0
Ковжуна 2/5,2024-09-20,1550.0
Ковжуна 2/5,2024-09-21,1550.0
Вірменська 13,2024-09-20,2400.0
Пекарська 32,2024-09-20,3200.0
Чайковського 26,2024-09-20,2100.0
Чайковського 26,2024-09-21,2100.0
Мосяжна 4,2024-09-20,3000.0
Цехова 9,2024-09-20,1800.0
Франка 28,2024-09-20,2000.0
Куліша 47а,2024-09-20,2700.0
Ковжуна 2/3,2024-09-20,2000.0
Балабана 23/1,2024-09-20,2400.0
Балабана 23/1,2024-09-21,2400.0
Балабана 3,2024-09-20,2266.67
Балабана 3,2024-09-21,2266.67
Балабана 3,2024-09-22,2266.67
Ковжуна 2/7,2024-09-21,1425.0
Городоцька 31,2024-09-20,4000.0
Городоцька 31,2024-09-21,4000.0
Чорновола 1,2024-09-20,2459.97
Чорновола 1,2024-09-21,2459.97
Джерельна 34,2024-09-20,3333.33
Джерельна 34,2024-09-21,3333.33
Джерельна 34,2024-09-22,3333.33
ковжуна 2/9,2024-09-20,1200.0
Франка 28,2024-09-21,2800.0
Наливайка 13,2024-09-20,2800.0
Наливайка 13,2024-09-21,2800.0
Сербська 6/1,2024-09-20,1400.0
Газова 10,2024-09-20,1885.93
Газова 10,2024-09-21,1885.93
ковжуна 2/9,2024-09-21,1650.0
